active_days,heating_type,small_room_cnt,property_condition_type,balcony_area,trend_nmAr,nmAr,room_cnt,postcode,county,created_at,property_subtype,garden_access,view_type,elevator_type,nr,ad_view_cnt,property_type,orientation,city,property_area,property_floor,jelen_nmAr,price_created_at,building_floor_count,condition_mapping,condition_dummy,condition=_good,condition=_medium,condition=_missing_info,condition=_new_construction,condition=_novel,condition=_renewed,condition=_to_be_renovated,condition=_under_construction,heating_type=_central heating with own meter,heating_type=_district heating,heating_type=_electric,heating_type=_fan-coil,heating_type=_gas furnace,"heating_type=_gas furnace, circulating hot water",heating_type=_konvection gas burner,heating_type=_other,heating_type=_tile stove (gas),ker_code_from_postcode,time,year,month,day,daynum,ori_from_postcode,ori=_north,ori=_north-east,ori=_north-west,ori=_south,ori=_south-east,ori=_south-west,ori=_west,roman,emelet,emelet_epulet,emelet_median,tipp,tipp_arany
3.0,konvection gas burner,0.0,missing_info,0.0,404627.1645723727,342222.22222222225,2.0,7,Budapest,2016-02-14,1,0,3,0,276918,489.0,flat,south-east,Budapest VII.,45.0,2,384237.7659017422,15.4,3,6,missing_info,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,2016-02-14,2016,2,14,370,south-east,0,0,0,0,1,0,0,VII,2.0,3.0,2.0,497614.11589695927,0.7721601008225943
20.0,district heating,2.0,good,2.0,352428.314513105,306153.8461538461,1.0,11,Budapest,2015-07-22,2,0,0,0,120873,42.0,flat,west,Budapest XI.,65.0,3,394653.3594176613,19.9,,1,good,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.0,2015-07-22,2015,7,22,163,west,0,0,0,0,0,0,1,XI,3.0,3.0,3.0,415974.57559518795,0.948743943912871
141.0,konvection gas burner,1.0,to_be_renovated,0.0,398322.9556280167,280000.0,1.0,0,Budapest,2016-01-20,1,0,3,0,255627,969.0,flat,,Budapest VIII.,50.0,2,319351.95021470217,14.0,3,5,to_be_renovated,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8.0,2016-01-20,2016,1,20,345,east,0,0,0,0,0,0,0,VIII,2.0,3.0,2.0,340549.4362548816,0.9377550399927418
11.0,"gas furnace, circulating hot water",0.0,novel,0.0,361002.0386774292,410000.0,2.0,8,Budapest,2015-08-25,1,0,1,1,143878,243.0,flat,,Budapest VIII.,50.0,1,515965.9940273459,20.5,,2,novel,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8.0,2015-08-25,2015,8,25,197,east,0,0,0,0,0,0,0,VIII,1.0,1.0,1.0,562240.0870442946,0.9176969161693675
11.0,central heating,0.0,medium,5.0,395296.9353347258,330769.23076923075,2.0,7,Budapest,2016-01-08,1,0,1,1,245662,182.0,flat,south-west,Budapest VII.,65.0,,380144.34387300175,21.5,,4,medium,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,2016-01-08,2016,1,8,333,south-west,0,0,0,0,0,1,0,VII,4.0,4.0,2.0,487936.2193094529,0.779086136321254
5.0,district heating,1.0,medium,0.0,373862.6249239154,264444.44444444444,1.0,14,Budapest,2015-10-15,2,0,1,0,188328,25.0,flat,,Budapest XIV.,45.0,2,321343.31817389413,11.9,2.0,4,medium,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.0,2015-10-15,2015,10,15,248,south-west,0,0,0,0,0,1,0,XIV,2.0,10.0,2.0,351811.7133668655,0.9133957340379988
62.0,"gas furnace, circulating hot water",1.0,medium,5.0,325950.6369468099,363076.92307692306,1.0,0,Budapest,2015-04-08,1,0,2,0,40523,201.0,flat,,Budapest II.,65.0,2,506050.3032135076,23.6,,4,medium,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2015-04-08,2015,4,8,58,east,0,0,0,0,0,0,0,II,2.0,2.0,2.0,624969.5299867634,0.8097199606262813
102.0,central heating with own meter,0.0,renewed,4.0,340324.23333994154,323636.36363636365,2.0,0,Budapest,2015-06-04,1,0,0,1,83990,528.0,flat,,Budapest VIII.,55.0,1,432027.4235060721,17.8,6,3,renewed,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8.0,2015-06-04,2015,6,4,115,east,0,0,0,0,0,0,0,VIII,1.0,6.0,1.0,499019.19428156345,0.8657531182303734
2.0,district heating,2.0,good,3.0,343602.42199100665,265000.0,1.0,13,Budapest,2015-06-17,2,0,0,1,94688,174.0,flat,west,Budapest XIII.,60.0,10,350377.7622744289,15.9,,1,good,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13.0,2015-06-17,2015,6,17,128,west,0,0,0,0,0,0,1,XIII,10.0,10.0,10.0,400735.9311114364,0.8743357784330951
3.0,central heating,0.0,to_be_renovated,2.0,374366.9616394639,330000.0,2.0,9,Budapest,2015-10-17,1,0,0,1,190009,89.0,flat,south,Budapest IX.,50.0,3,400463.8352466796,16.5,,5,to_be_renovated,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,2015-10-17,2015,10,17,250,south,0,0,0,1,0,0,0,IX,3.0,3.0,3.0,463703.5830702552,0.8636203166582084
